,artist,genre
288,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
289,Khalid,"['alternative r&b', 'pop']"
290,Kid Ink,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
291,Famous Dex,"['chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
292,T-Pain,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
293,VIC MENSA,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
294,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
295,Wale,"['dance pop', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
296,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']"
297,Childish Gambino,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
298,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']"
299,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
300,DaBaby,"['north carolina hip hop', 'rap']"
301,Amine,"['hip hop', 'pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
302,B.o.B,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop dance', 'pop rap', 'rap', 'southern hip hop']"
303,Farid Bang,"['deep german hip hop', 'german hip hop']"
304,DeJ Loaf,"['detroit hip hop', 'pop r&b', 'pop rap', 'rap', 'trap', 'trap queen']"
305,Russ,"['hawaiian hip hop', 'pop rap', 'rap']"
306,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
307,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
308,Vince Staples,"['conscious hip hop', 'escape room', 'hip hop', 'rap', 'underground hip hop']"
309,Omarion,"['dance pop', 'hip pop', 'pop r&b', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
